0.0001;CnnPolicy;2048;10;10000;196.730;-58.96509519716104
0.0001;MlpPolicy;4096;10;1000;63.584;-68.4923694357276
0.0001;MlpPolicy;4096;10;10000;203.737;-55.67533662666877
0.0001;CnnPolicy;4096;10;1000;75.882;17.730193316936493
0.0001;CnnPolicy;4096;10;10000;224.657;77.46769588192304
0.0001;MlpPolicy;1024;20;1000;23.375;-49.18169739842415
0.0001;MlpPolicy;1024;20;10000;235.548;-74.07291999955972
0.0001;CnnPolicy;1024;20;1000;30.907;-67.45679704348247
0.0001;CnnPolicy;1024;20;10000;312.238;-83.95112434029579
0.0001;MlpPolicy;2048;20;1000;53.634;-74.51422055065632
0.0001;MlpPolicy;2048;20;10000;261.375;-69.22003591805696
